Dates,1Y,2Y,3Y,4Y,5Y,10Y,spread
1995-05-31,0.0447,0.05445999642611038,0.05716726016025596,0.06255784272135709,0.06152873398045636,0.05979819226177541,0.01509819226177541
1995-06-30,0.046,0.058673941801612915,0.060811401847975455,0.06608782194112606,0.06409880641299173,0.05809719602016972,0.012097196020169718
1995-07-31,0.045,0.05442040215822469,0.059169279932860225,0.06844403178688219,0.05963035755930424,0.060254880988409365,0.015254880988409367
1995-08-31,0.0425,0.05035079898257628,0.059222708577683914,0.06656816046190556,0.05926827864454093,0.06145009540298352,0.018950095402983515
1995-09-29,0.0398,0.049502929628494036,0.055809918324078306,0.06561108646578773,0.05850974959803207,0.0593836510898581,0.0195836510898581
1995-10-31,0.0398,0.046554121542289814,0.05438114760726313,0.06159188601548457,0.0581798609812188,0.059367806335984374,0.019567806335984372
1995-11-30,0.037599999999999995,0.04055006249997882,0.048641762497196026,0.056543682454256505,0.05930455926893263,0.06054016774731541,0.022940167747315415
1995-12-29,0.0362,0.03933965549512513,0.04763335191446062,0.055677325388098386,0.056493672645862,0.06229685014060127,0.026096850140601265
1996-01-31,0.0322,0.04041202785250502,0.04659594672104897,0.05905097641622914,0.050842530502456046,0.06289832017590635,0.030698320175906353
1996-02-29,0.0334,0.04591398579577532,0.04911676350014629,0.06666600025670819,0.05653749437951053,0.06268399887381415,0.02928399887381415
1996-03-29,0.0331,0.04433838187524269,0.05003387860834389,0.06830059507145478,0.05575663123542554,0.06585994486358182,0.03275994486358182
1996-04-30,0.0311,0.04142040481155146,0.04789352217513965,0.06900618757261226,0.05657569443047625,0.06815056713515044,0.03705056713515044
1996-05-31,0.0329,0.04455123819897541,0.05211316855031628,0.06509716620184156,0.05928608985299891,0.06691009667607761,0.034010096676077614
1996-06-28,0.036699999999999997,0.044954893212828397,0.05544230387488998,0.06526788833704239,0.06191866634271423,0.06775516313166907,0.031055163131669075
1996-07-31,0.034699999999999995,0.04294480178191286,0.05330006660689306,0.06503282355836221,0.06102225005931508,0.06508191387272888,0.030381913872728886
1996-08-30,0.0329,0.04231752625039144,0.053455900941768844,0.06469236465842293,0.05782443054896552,0.06249600597994087,0.029596005979940873
1996-09-30,0.0322,0.03967880513754309,0.05116193093810381,0.05999803318065414,0.05522529330232098,0.060107324191307154,0.027907324191307155
1996-10-31,0.0328,0.03969586688872451,0.04837420557010404,0.059282134179924006,0.05207195683874119,0.05809909840519534,0.025299098405195335
1996-11-29,0.0322,0.036240652394056196,0.04453223410642888,0.055901019746882746,0.05109602584183648,0.0555863251847582,0.0233863251847582
1996-12-31,0.0327,0.03685799235589955,0.04631883507163716,0.05546652293117835,0.049503573756566666,0.057032696747157496,0.024332696747157496
1997-01-31,0.0315,0.036087593492994036,0.04521920189937116,0.05589209600246331,0.047707068981695216,0.06100654331673944,0.029506543316739436
1997-02-28,0.0326,0.036259138076780835,0.04640823075489926,0.05131735184942102,0.05899341500222724,0.060110655830123705,0.027510655830123708
1997-03-31,0.0339,0.038419132459286215,0.04947973976398799,0.055060268312080135,0.06284178225541892,0.06433217303226191,0.03043217303226191
1997-04-30,0.0328,0.03896259465319603,0.04582015385795524,0.05372544504902252,0.06105917552717072,0.0662965440543346,0.0334965440543346
1997-05-30,0.0331,0.03917390595522308,0.0493549725397866,0.052792258859217206,0.06034195793003458,0.06685520758950958,0.03375520758950958
1997-06-30,0.0319,0.03742041387328023,0.04682005182390461,0.049885122278360006,0.05790523699695399,0.06367817987684576,0.031778179876845766
1997-07-31,0.0332,0.041294848003591296,0.04638800276598461,0.04932645095355448,0.06135929298192783,0.05992936643669966,0.02672936643669966
1997-08-29,0.034699999999999995,0.04229039560155963,0.04854942853523471,0.0526469954211759,0.06168362585996681,0.06275160458861112,0.028051604588611126
1997-09-30,0.036000000000000004,0.04382414187941747,0.05001591815919444,0.0535150860919921,0.05822763051910215,0.06158059881606759,0.025580598816067585
1997-10-31,0.039599999999999996,0.044177096518254085,0.05118987371705984,0.054247275236259274,0.05821410083649972,0.059964807386035546,0.02036480738603555
1997-11-28,0.0401,0.04287105269297274,0.05118302477565995,0.05404889829410317,0.058482982579915244,0.05771447779524802,0.017614477795248024
1997-12-31,0.0392,0.04364075249774941,0.048752733384439126,0.053711463662312914,0.05348643365487232,0.05263046490082568,0.013430464900825681
1998-01-30,0.03673,0.03919430070919717,0.04602872526930431,0.04960218195610676,0.05100554156454612,0.05078934412849784,0.014059344128497839
1998-02-27,0.03655,0.04015749719633015,0.04627619235680086,0.0480668739251536,0.05006873307728835,0.05154434620913395,0.014994346209133952
1998-03-31,0.03798,0.04231842301279822,0.045586614387782165,0.04751614739927071,0.04920457686847435,0.049009776150074846,0.011029776150074846
1998-04-30,0.038740000000000004,0.043661148690965414,0.04627299278638562,0.04908178335509225,0.0510441147836351,0.048485372147868744,0.00974537214786874
1998-05-29,0.03734,0.04180091262073598,0.04620292147696117,0.047037944945425195,0.048239360947858245,0.048962759658220945,0.011622759658220946
1998-06-30,0.037970000000000004,0.040655245533586556,0.04420783661784397,0.046351440417463,0.04715127994486781,0.047799889384113114,0.00982988938411311
1998-07-31,0.03744,0.04010774110595294,0.04333564640817797,0.04513592633265848,0.04790218213318642,0.04260357003758286,0.00516357003758286
1998-08-31,0.035,0.03357033618898575,0.0377821581315875,0.03814634745244708,0.04748953755953478,0.04802320656509229,0.013023206565092288
1998-09-30,0.03471,0.03216800296544572,0.03563944948018925,0.03842008082190365,0.03986422924794947,0.02836980652532739,-0.006340193474672608
1998-10-30,0.034249999999999996,0.03073503631305241,0.038734745904954695,0.039017187098977016,0.04002649851755355,0.03298265136199363,-0.0012673486380063645
1998-11-30,0.03347,0.03133455536086369,0.035612466090881714,0.03622908285328086,0.036633542315711004,0.039634193229984904,0.0061641932299849045
1998-12-31,0.02959,0.03228568054278033,0.0324391286564493,0.037880222994437884,0.0317801751119553,0.03853799202265429,0.008947992022654287
1999-01-29,0.02883,0.02766394778659265,0.03127925866676992,0.03525571232241226,0.03133410905196979,0.03333144628594836,0.0045014462859483614
1999-02-26,0.03016,0.03188736832203326,0.03556773009952903,0.03745952554743073,0.0328352534577917,0.03707699589014429,0.006916995890144294
1999-03-31,0.02871,0.028441678260983934,0.03355976307365149,0.036540259089392374,0.032002449905288916,0.039143791278264395,0.010433791278264395
1999-04-30,0.026160000000000003,0.027343333289915797,0.031516446070228125,0.034716628505939054,0.03271244618069459,0.04219745150263826,0.01603745150263826
1999-05-31,0.02667,0.02869575976784651,0.034970485272945565,0.03848771941969828,0.03468420954090817,0.045869468139638936,0.019199468139638937
1999-06-30,0.028890000000000002,0.03391591743926871,0.04074983990322961,0.0452660432286182,0.04033002868298696,0.0411086108121666,0.0122186108121666
1999-07-30,0.029859999999999998,0.03723390422371678,0.04485483326098168,0.04929239881872108,0.04423387951694013,0.04784727168550901,0.01798727168550901
1999-08-31,0.03088,0.03765561267761302,0.046476717034348566,0.04956195808623484,0.04673434509633345,0.04998269357716084,0.01910269357716084
1999-09-30,0.031509999999999996,0.04090709276355442,0.04596205895011082,0.050051566852910484,0.04850227382374803,0.048267135077809276,0.01675713507780928
1999-10-29,0.03426,0.04296596948760172,0.04734942583653293,0.05153003012088067,0.051294670650472884,0.04959962104206489,0.015339621042064891
1999-11-30,0.035019999999999996,0.0436937263049226,0.04965561536160244,0.04810605765983772,0.050520081465305955,0.04989432034598018,0.014874320345980185
1999-12-31,0.036610000000000004,0.04648165798233893,0.051220449515267746,0.0510128422328526,0.049890333836641654,0.05415883299388735,0.017548832993887348
2000-01-31,0.03888,0.0476883921756237,0.052528204886995805,0.05352331694982465,0.05454327458330113,0.054867389996636595,0.015987389996636597
2000-02-29,0.03891,0.04869387922941583,0.053698912761823425,0.05303356828834266,0.054541095115977656,0.05388200562453915,0.014972005624539153
2000-03-31,0.04139,0.04600318417755273,0.04942155133524527,0.04998805715590421,0.05102444993834643,0.05238501550409286,0.010995015504092855
2000-04-28,0.04346,0.04728989097599385,0.050646991812838466,0.05125161796670938,0.05212496682366963,0.05307737597492035,0.00961737597492035
2000-05-31,0.04738,0.0501834534176966,0.05115211084066483,0.05069394035496125,0.047819504966531645,0.046416161593951566,-0.0009638384060484326
2000-06-30,0.04871,0.04906688312881874,0.049714200386567764,0.05095150038069374,0.047704908835176696,0.0488401260906276,0.00013012609062759695
2000-07-31,0.05035,0.05047491554541492,0.05108332151169,0.05068368667963469,0.049295236733707504,0.04732893918215053,-0.0030210608178494677
2000-08-31,0.051390000000000005,0.05148224494375777,0.05185250888194794,0.052441261420183044,0.04933470405569876,0.04888956044812587,-0.002500439551874137
2000-09-29,0.05093,0.0487237218522286,0.0499420653143265,0.0508554414016735,0.04746765508333675,0.04978094723442761,-0.0011490527655723948
2000-10-31,0.051719999999999995,0.04871470433856751,0.049856289512970026,0.05023685860326521,0.04819103184538959,0.0501514026437439,-0.001568597356256092
2000-11-30,0.04948,0.04606388396653801,0.04778025077048044,0.04718889644850541,0.046425794342831755,0.05170492182233405,0.002224921822334046
2000-12-29,0.0463,0.041739879486837904,0.04421799393274331,0.04473470265842072,0.04451448006969089,0.04865774222373137,0.0023577422237313697
2001-01-31,0.044649999999999995,0.042168860616739516,0.044706700037625044,0.044323301017683975,0.044964424152444865,0.049775364217923945,0.00512536421792395
2001-02-28,0.045250000000000005,0.04136474134287905,0.043988639304527705,0.044505440137338814,0.04510819684280559,0.048764577732154646,0.0035145777321546404
2001-03-30,0.04288,0.039107396624512784,0.042706573586605914,0.04372244897673294,0.04461299234456559,0.04872769162017371,0.005847691620173706
2001-04-30,0.04747,0.04406606865593035,0.04562330372056571,0.04787784218439986,0.04799145041881661,0.05020889481288476,0.002738894812884765
2001-05-31,0.04394,0.042848745158319594,0.04530981036576616,0.049000567970167275,0.05096372053037146,0.052918395093963344,0.008978395093963344
2001-06-29,0.042649999999999993,0.04207243596309562,0.04350083879270225,0.04903492605378043,0.048015043848381594,0.052511222123480694,0.0098612221234807
2001-07-31,0.041749999999999995,0.0401146993545589,0.04108447070414227,0.04753058361918247,0.046288268907383884,0.05176658945140711,0.010016589451407112
2001-08-31,0.03996,0.03823968486606775,0.040499807870525636,0.04560942707629115,0.04222653038249852,0.05123634428383128,0.011276344283831279
2001-09-28,0.03456,0.03445945441741843,0.03972104190514256,0.046494749232075167,0.044431985742051594,0.05212416498510963,0.017564164985109633
2001-10-31,0.03207,0.030267711053021472,0.036322352418735104,0.04304173825955304,0.04243781591240306,0.04760101043485471,0.015531010434854706
2001-11-30,0.03163,0.03547801004593662,0.038962065017008066,0.04610702128991194,0.045666237548216526,0.045834341836555714,0.014204341836555716
2001-12-31,0.03309,0.0391256987662644,0.043182746864817115,0.054845665707157085,0.04544534451735319,0.0498854922960697,0.0167954922960697
2002-01-31,0.03504,0.04211584910641677,0.043730069271871466,0.05359913653566303,0.04643852758301345,0.04900035662138841,0.013960356621388406
2002-02-28,0.03489,0.041683230932113624,0.04603637781905329,0.051334165033360385,0.04893598508215538,0.050591095643940875,0.015701095643940878
2002-03-29,0.03908,0.04651850501421768,0.04926271887176213,0.05391356587777865,0.051775750399784576,0.05181435767570791,0.012734357675707915
2002-04-30,0.03678,0.04366737101699363,0.04680401877601159,0.052384429138201766,0.05114661631882966,0.05132133565174413,0.014541335651744126
2002-05-31,0.03973,0.04422473053391589,0.04852034426471223,0.050557558221840077,0.05215423241102593,0.05150146000333872,0.011771460003338716
2002-06-28,0.03681,0.04084990667013126,0.0446128635698802,0.05123947582017516,0.04680284883843108,0.0499530272415033,0.013143027241503298
2002-07-31,0.03408,0.03756960530573576,0.04086340930424835,0.0492046495682989,0.044367967681354065,0.049690912167366486,0.015610912167366486
2002-08-30,0.0333,0.03560079536201477,0.04107134082986512,0.04352815018462203,0.04550092959188856,0.047508096817088286,0.014208096817088282
2002-09-30,0.030430000000000002,0.03051957946448305,0.03597632408173214,0.03962608205003754,0.040785805054587315,0.046494777811416255,0.016064777811416252
2002-10-31,0.030270000000000002,0.030868898091674805,0.037234472243355105,0.042540314209824126,0.045243563045989366,0.05110018981862313,0.02083018981862313
2002-11-29,0.029500000000000002,0.031985162583938416,0.037794890349412365,0.04222915590861938,0.04539646739080733,0.047367152448930194,0.017867152448930192
2002-12-31,0.026539999999999998,0.027498854134855005,0.03227366702982305,0.03905911335506318,0.04190653648595058,0.045326999610011354,0.018786999610011356
2003-01-31,0.025670000000000002,0.025911461682362313,0.03421329193125375,0.03850784521001101,0.03671133123014296,0.045968319473238095,0.020298319473238093
2003-02-28,0.022930000000000002,0.022710161408545076,0.030861690145996573,0.03612391867934096,0.038096372871112616,0.04657665913887005,0.023646659138870044
2003-03-31,0.02331,0.02452729594373017,0.033086219032305283,0.03792872191597371,0.040846236051488696,0.046566511607016414,0.023256511607016413
2003-04-30,0.02327,0.02495694570902988,0.03263724992969,0.038375427593107914,0.042055901684299596,0.048841836439380504,0.025571836439380505
2003-05-30,0.02092,0.021174290469019957,0.028274848670896302,0.03349220643979624,0.03827124482084324,0.04078721147449743,0.01986721147449743
