Dates,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,20Y,30Y,1M
1980-01-31,,,,,,,,,,,,,,,,,,,,
1980-02-29,,,,,,,,,,,,0.0022831805938930516,,,,,,,,
1980-03-31,,,,,,,,,,,,-0.028924399245367185,,,,,,,,
1980-04-30,,,,,,,,,,,,-0.021049400131969508,,,,,,,,
1980-05-30,,,,,,,,,,,,0.009285769426108592,,,,,,,,
1980-06-30,,,,,,,,,,,,0.007558283904059019,,,,,,,,
1980-07-31,,,,,,,,,,,,0.008157158626303904,,,,,,,,
1980-08-29,,,,,,,,,,,,0.009323400277881477,,,,,,,,
1980-09-30,,,,,,,,,,,,0.009323400277881477,,,,,,,,
1980-10-31,,,,,,,,,,,,0.0024775245431046056,,,,,,,,
1980-11-28,,,,,,,,,,,,0.009413651406458445,,,,,,,,
1980-12-31,,,,,,,,,,,,-0.028516188824424374,,,,,,,,
1981-01-30,,,,,,,,,,,,-0.016846574577832497,,,,,,,,
1981-02-27,,,,,,,,,,,,0.010311315399404108,,,,,,,,
1981-03-31,,,,,,,,,,,,0.010311315399404108,,,,,,,,
1981-04-30,,,,,,,,,,,,0.010311315399404108,,,,,,,,
1981-05-29,,,,,,,,,,,,0.010311315399404108,,,,,,,,
1981-06-30,,,,,,,,,,,,0.007589741760433957,,,,,,,,
1981-07-31,,,,,,,,,,,,-0.04240415521868867,,,,,,,,
1981-08-31,,,,,,,,,,,,-0.02827027494726921,,,,,,,,
1981-09-30,,,,,,,,,,,,0.01171491691985338,,,,,,,,
1981-10-30,,,,,,,,,,,,0.12331444369639351,,,,,,,,
1981-11-30,,,,,,,,,,,,-0.07924297968225014,,,,,,,,
1981-12-31,,,,,,,,,,,,0.01171491691985338,,,,,,,,
1982-01-29,,,,,,,,,,,,0.004183428202018345,,,,,,,,
1982-02-26,,,,,,,,,,,,-0.028447292506301992,,,,,,,,
1982-03-31,,,,,,,,,,,,-0.0019085655023062444,,,,,,,,
1982-04-30,,,,,,,,,,,,0.010252988238132697,,,,,,,,
1982-05-31,,,,,,,,,,,,0.01029367625570849,,,,,,,,
1982-06-30,,,,,,,,,,,,0.01273561163392567,,,,,,,,
1982-07-30,,,,,,,,,,,,0.01273561163392567,,,,,,,,
1982-08-31,,,,,,,,,,,,0.02751872134541425,,,,,,,,
1982-09-30,,,,,,,,,,,,0.1323052274361971,,,,,,,,
1982-10-29,,,,,,,,,,,,0.02717902980554538,,,,,,,,
1982-11-30,,,,,,,,,,,,-0.01981518103575388,,,,,,,,
1982-12-31,,,,,,,,,,,,0.08937028117364708,,,,,,,,
1983-01-31,,,,,,,,,,,,0.0020510850535233067,,,,,,,,
1983-02-28,,,,,,,,,,,,-0.05827064977868888,,,,,,,,
1983-03-31,,,,,,,,,,,,-0.013563410477350091,,,,,,,,
1983-04-29,,,,,,,,,,,,0.06065795682018687,,,,,,,,
1983-05-31,,,,,,,,,,,,-0.01423537269403917,,,,,,,,
1983-06-30,,,,,,,,,,,,-0.0012255809639473134,,,,,,,,
1983-07-29,,,,,,,,,,,,0.0141681632816639,,,,,,,,
1983-08-31,,,,,,,,,,,,0.009019445242145386,,,,,,,,
1983-09-30,,,,,,,,,,,,0.04931421903157957,,,,,,,,
1983-10-31,,,,0.025267678018942294,,,0.05317659890573388,,,,,0.052783392256416435,,,,,,,,
1983-11-30,,,0.01448720446782278,0.024747374539008486,,,0.02631806896495299,,,,,0.02150628306793699,,,,,,,,
1983-12-30,,,0.008431169043400244,0.00039411881907154,,,-0.022026240918146325,,,,,-0.0055638410504390105,,,,,,,,
1984-01-31,,,0.0041983972952912806,-0.0008188143807747262,,,-0.014091334699435359,,,,,0.010608597246586804,,,,,,,,
1984-02-29,,,0.0004285945228752588,0.005421145596604619,,,0.023094696311549825,,,,,-0.015262149493551914,,,,,,,,
1984-03-30,,,0.006624366169576498,0.007267029886253959,,,0.0050767156509609135,,,,,0.008350984149847394,,,,,,,,
1984-04-30,,,0.010247352665348401,0.010693963668164844,,,0.02118740016943411,,,,,0.01900672119008517,,,,,,,,
1984-05-31,,,0.010210066804415762,0.008169985197358478,,,0.003199733896628936,,,,,-0.0020829045597300223,,,,,,,,
1984-06-29,,,0.013991116725801033,0.016591951727776978,,,0.021137950378067358,,,,,0.03273045048084111,,,,,,,,
1984-07-31,,,0.010222338988095905,0.011270450536208036,,,0.01734726775288583,,,,,0.044289833095116284,,,,,,,,
1984-08-31,,,0.017871309552280508,0.02396773761922512,,,0.030189245539030626,,,,,0.02997144804201867,,,,,,,,
1984-09-28,,,0.0034775513360623123,-0.0027132067512439834,,,-0.006359148191414303,,,,,-0.006112405121437251,,,,,,,,
1984-10-31,,,0.005625370197910736,0.006088456171936503,,,-0.0006657685878314358,,,,,0.0022105909030793454,,,,,,,,
1984-11-30,,,0.004683155513750369,0.0029574664248067416,,,0.008386725717996363,,,,,0.010422908867375291,,,,,,,,
1984-12-31,,,0.005944448642895004,0.003286180762645989,,,0.003154384600697996,,,,,-0.002894660305967201,,,,,,,,
1985-01-31,,,0.012157701638508881,0.015987800247772646,,,0.02111323596468852,,,,,0.032811550893638394,,,,,,,,
1985-02-28,,,0.00485424467365661,-0.0007227607812461945,,,-0.007285803815221803,,,,,-0.020968131650453234,,,,,,,,
1985-03-29,,,0.005321650357180364,0.0030507491531930942,,,7.38817413626906e-05,,,,,0.005460419041940642,,,,,,,,
