Dates,1Y,2Y,3Y,5Y,10Y,spread
2000-12-29,0.06675,0.06495408825193326,0.06441980863926072,0.13719484888859734,0.33333774781267883,0.2665877478126788
2001-01-31,0.05708,0.059196399732272,0.05168247643759773,0.12240745568328243,0.34667732966266945,0.28959732966266943
2001-02-28,0.056150000000000005,0.055766100278409836,0.049145216482649745,0.12807519880609164,0.33818681559579455,0.2820368155957945
2001-03-30,0.06144,0.06325974380894447,0.04418412199408063,0.14033328663552658,0.4211039069264378,0.3596639069264378
2001-04-30,0.0633,0.07111559396290537,0.06582525216618162,0.1569555960228487,0.3961720536711172,0.33287205367111716
2001-05-31,0.05814,0.06524476453846124,0.0599470345388811,0.14273785060826774,0.3779985843757993,0.3198585843757993
2001-06-29,0.05619,0.0610393618756306,0.05912757090752155,0.12937031876624408,0.36172125459985477,0.30553125459985475
2001-07-31,0.053559999999999997,0.056858282288787476,0.055794694449476254,0.12736564274972761,0.35968957464858275,0.30612957464858276
2001-08-31,0.051399999999999994,0.05154877000178007,0.04940969861185719,0.11330411998698692,0.3392253787430946,0.2878253787430946
2001-09-28,0.043899999999999995,0.0450700714014328,0.04327038106309916,0.1093122240119932,0.34575127393781474,0.30185127393781475
2001-10-31,0.04545,0.05305672167609446,0.048980639634376974,0.14957452211346367,0.36294163960780335,0.31749163960780336
2001-11-30,0.051449999999999996,0.05899559162800757,0.056457114647699924,0.14069921533058793,0.3583881909155456,0.3069381909155456
2001-12-31,0.0538,0.061813035219787336,0.05962859184975727,0.14576922695086736,0.35818783139612087,0.30438783139612086
2002-01-31,0.0512,0.06634127911088013,0.06062668543245986,0.14861959786867945,0.3623685756009829,0.3111685756009829
2002-02-28,0.04942,0.06444742047757868,0.055520075482542744,0.14878109909034884,0.3472561948288665,0.2978361948288665
2002-03-29,0.054900000000000004,0.06836789410141673,0.06448966488027051,0.15105504088775054,0.3654551678632024,0.3105551678632024
2002-04-30,0.05359,0.0694787578227275,0.06309855405843386,0.15080153515269495,0.3625697723209832,0.30897977232098317
2002-05-31,0.05286,0.06442368066260845,0.062238808318928696,0.13679513181091618,0.3518006910038907,0.2989406910038907
2002-06-28,0.054299999999999994,0.057481429066137305,0.05515084473350915,0.12390089083783715,0.35675622662147327,0.30245622662147326
2002-07-31,0.05205,0.057970559771918735,0.05324729458616119,0.12957472024400207,0.3338006556894399,0.2817506556894399
2002-08-30,0.05024,0.05572971049594548,0.05539042953423781,0.1247392472716678,0.3241912522538281,0.2739512522538281
2002-09-30,0.05101,0.05317395345068889,0.051576758539112366,0.11845941404162047,0.31746020704173694,0.26645020704173694
2002-10-31,0.0509,0.053639526414263054,0.05380769431391055,0.1179029304754359,0.305805019672224,0.254905019672224
2002-11-29,0.0507,0.053753882738751195,0.05234592316441171,0.11660041282443265,0.29136294902543675,0.24066294902543675
2002-12-31,0.04987,0.05100812271375238,0.04983723484717158,0.10936918436146736,0.28590626651963946,0.23603626651963946
2003-01-31,0.04650000000000001,0.04755240439892237,0.04678818882750706,0.1008245197782941,0.2653641517222735,0.2188641517222735
