DATE,CPIAUCSL_PC1
1967/3/1,2.54817
1967/4/1,2.54027
1967/5/1,2.31839
1967/6/1,2.84126
1967/7/1,2.92758
1967/8/1,2.60337
1967/9/1,2.59542
1967/10/1,2.58752
1967/11/1,3.10219
1967/12/1,3.28068
1968/1/1,3.64742
1968/2/1,3.63636
1968/3/1,3.93939
1968/4/1,3.92749
1968/5/1,4.22961
1968/6/1,4.2042
1968/7/1,4.49102
1968/8/1,4.47761
1968/9/1,4.46429
1968/10/1,4.74777
1968/11/1,4.42478
1968/12/1,4.70588
1969/1/1,4.69208
1969/2/1,4.67836
1969/3/1,5.24781
1969/4/1,5.52326
1969/5/1,5.50725
1969/6/1,5.4755
1969/7/1,5.44413
1969/8/1,5.42857
1969/9/1,5.69801
1969/10/1,5.66572
1969/11/1,5.9322
1969/12/1,5.89888
1970/1/1,6.16246
1970/2/1,6.42458
1970/3/1,6.09418
1970/4/1,6.06061
1970/5/1,6.04396
1970/6/1,6.01093
1970/7/1,5.70652
1970/8/1,5.69106
1970/9/1,5.66038
1970/10/1,5.63003
1970/11/1,5.6
1970/12/1,5.57029
1971/1/1,5.27704
1971/2/1,4.72441
1971/3/1,4.43864
1971/4/1,4.15584
1971/5/1,4.40415
1971/6/1,4.38144
1971/7/1,4.37018
1971/8/1,4.35897
1971/9/1,4.08163
1971/10/1,3.80711
1971/11/1,3.53535
1971/12/1,3.26633
1972/1/1,3.25815
1972/2/1,3.7594
1972/3/1,3.5
1972/4/1,3.49127
1972/5/1,3.22581
1972/6/1,2.96296
1972/7/1,2.95567
1972/8/1,2.9484
1972/9/1,3.18627
1972/10/1,3.17848
1972/11/1,3.41463
1972/12/1,3.40633
1973/1/1,3.64078
1973/2/1,3.86473
1973/3/1,4.83092
1973/4/1,5.3012
1973/5/1,5.52885
1973/6/1,5.9952
1973/7/1,5.74163
1973/8/1,7.39857
1973/9/1,7.36342
1973/10/1,8.05687
1973/11/1,8.25472
1973/12/1,8.94118
1974/1/1,9.60187
1974/2/1,10
1974/3/1,10.13825
1974/4/1,10.06865
1974/5/1,10.70615
1974/6/1,10.85973
1974/7/1,11.53846
1974/8/1,10.88889
1974/9/1,11.9469
1974/10/1,11.84211
1974/11/1,12.20044
1974/12/1,12.09503
1975/1/1,11.75214
1975/2/1,11.20507
1975/3/1,10.46025
1975/4/1,10.18711
1975/5/1,9.25926
1975/6/1,9.18367
1975/7/1,9.53347
1975/8/1,8.61723
1975/9/1,7.90514
1975/10/1,7.64706
1975/11/1,7.37864
1975/12/1,7.12909
1976/1/1,6.69216
1976/2/1,6.27376
1976/3/1,6.06061
1976/4/1,5.84906
1976/5/1,6.21469
1976/6/1,5.98131
1976/7/1,5.55556
1976/8/1,5.71956
1976/9/1,5.49451
1976/10/1,5.46448
1976/11/1,5.06329
1976/12/1,5.03597
1977/1/1,5.19713
1977/2/1,6.08229
1977/3/1,6.42857
1977/4/1,6.95187
1977/5/1,6.73759
1977/6/1,6.70194
1977/7/1,6.66667
1977/8/1,6.63176
1977/9/1,6.42361
1977/10/1,6.39033
1977/11/1,6.71256
1977/12/1,6.67808
1978/1/1,6.81431
1978/2/1,6.23946
1978/3/1,6.37584
1978/4/1,6.5
1978/5/1,7.14286
1978/6/1,7.43802
1978/7/1,7.73026
1978/8/1,7.85597
1978/9/1,8.48287
1978/10/1,8.92857
1978/11/1,8.87097
1978/12/1,8.98876
1979/1/1,9.2504
1979/2/1,9.84127
1979/3/1,10.25237
1979/4/1,10.48513
1979/5/1,10.69767
1979/6/1,11.07692
1979/7/1,11.45038
1979/8/1,11.83612
1979/9/1,11.8797
1979/10/1,12.07154
1979/11/1,12.59259
1979/12/1,13.25479
1980/1/1,13.86861
1980/2/1,14.16185
1980/3/1,14.59227
1980/4/1,14.58924
1980/5/1,14.42577
1980/6/1,14.26593
1980/7/1,13.15068
1980/8/1,12.89009
1980/9/1,12.76882
1980/10/1,12.63298
1980/11/1,12.63158
1980/12/1,12.35371
1981/1/1,11.79487
1981/2/1,11.39241
1981/3/1,10.61174
1981/4/1,10.13597
1981/5/1,9.79192
1981/6/1,9.69697
1981/7/1,10.77482
1981/8/1,10.81731
1981/9/1,10.96544
1981/10/1,10.27155
1981/11/1,9.57944
1981/12/1,8.91204
1982/1/1,8.25688
1982/2/1,7.61364
1982/3/1,6.88488
1982/4/1,6.62177
1982/5/1,6.91193
1982/6/1,7.18232
1982/7/1,6.55738
1982/8/1,5.96529
1982/9/1,4.94092
1982/10/1,5.03212
1982/11/1,4.47761
1982/12/1,3.82572
1983/1/1,3.70763
1983/2/1,3.48469
1983/3/1,3.59029
1983/4/1,4
1983/5/1,3.44108
1983/6/1,2.47423
1983/7/1,2.35897
1983/8/1,2.4565
1983/9/1,2.76356
1983/10/1,2.75229
1983/11/1,3.16327
1983/12/1,3.7871
1984/1/1,4.29009
1984/2/1,4.69388
1984/3/1,4.89297
1984/4/1,4.55466
1984/5/1,4.33468
1984/6/1,4.32596
1984/7/1,4.30862
1984/8/1,4.2957
1984/9/1,4.28287
1984/10/1,4.26587
1984/11/1,4.1543
1984/12/1,4.04339
1985/1/1,3.52595
1985/2/1,3.60624
1985/3/1,3.79009
1985/4/1,3.5818
1985/5/1,3.57488
1985/6/1,3.66442
1985/7/1,3.45821
1985/8/1,3.35249
1985/9/1,3.24737
1985/10/1,3.23501
1985/11/1,3.51377
1985/12/1,3.79147
1986/1/1,3.97351
1986/2/1,3.19849
1986/3/1,2.15356
1986/4/1,1.58879
1986/5/1,1.6791
1986/6/1,1.76744
1986/7/1,1.67131
1986/8/1,1.57553
1986/9/1,1.75763
1986/10/1,1.56682
1986/11/1,1.2844
1986/12/1,1.18721
1987/1/1,1.36488
1987/2/1,1.91431
1987/3/1,2.84143
1987/4/1,3.67985
1987/5/1,3.66972
1987/6/1,3.74771
1987/7/1,3.92694
1987/8/1,4.28832
1987/9/1,4.27273
1987/10/1,4.35572
1987/11/1,4.52899
1987/12/1,4.33213
1988/1/1,4.12926
1988/2/1,3.9356
1988/3/1,3.83244
1988/4/1,3.9929
1988/5/1,3.9823
1988/6/1,3.96476
1988/7/1,4.13005
1988/8/1,4.11199
1988/9/1,4.18483
1988/10/1,4.26087
1988/11/1,4.2461
1988/12/1,4.41176
1989/1/1,4.48276
1989/2/1,4.64716
1989/3/1,4.8927
1989/4/1,5.03413
1989/5/1,5.2766
1989/6/1,5.16949
1989/7/1,5.06329
1989/8/1,4.62185
1989/9/1,4.43515
1989/10/1,4.58716
1989/11/1,4.65503
1989/12/1,4.6396
1990/1/1,5.19802
1990/2/1,5.26316
1990/3/1,5.23732
1990/4/1,4.71162
1990/5/1,4.3654
1990/6/1,4.67365
1990/7/1,4.81928
1990/8/1,5.70281
1990/9/1,6.16987
1990/10/1,6.37959
1990/11/1,6.19539
1990/12/1,6.25495
1991/1/1,5.64706
1991/2/1,5.3125
1991/3/1,4.82115
1991/4/1,4.80993
1991/5/1,5.03486
1991/6/1,4.69592
1991/7/1,4.36782
1991/8/1,3.79939
1991/9/1,3.39623
1991/10/1,2.84858
1991/11/1,3.06657
1991/12/1,2.98063
1992/1/1,2.67261
1992/2/1,2.81899
1992/3/1,3.18991
1992/4/1,3.18283
1992/5/1,3.0236
1992/6/1,3.01471
1992/7/1,3.15712
1992/8/1,3.07467
1992/9/1,2.9927
1992/10/1,3.27988
1992/11/1,3.12046
1992/12/1,2.96671
1993/1/1,3.2538
1993/2/1,3.24675
1993/3/1,3.01941
1993/4/1,3.15638
1993/5/1,3.22119
1993/6/1,2.99786
1993/7/1,2.84698
1993/8/1,2.84091
1993/9/1,2.764
1993/10/1,2.75229
1993/11/1,2.74455
1993/12/1,2.81096
1994/1/1,2.45098
1994/2/1,2.51572
1994/3/1,2.65178
1994/4/1,2.36439
1994/5/1,2.28849
1994/6/1,2.4948
1994/7/1,2.69896
1994/8/1,2.90055
1994/9/1,2.96552
1994/10/1,2.60989
1994/11/1,2.60274
1994/12/1,2.5974
1995/1/1,2.87081
1995/2/1,2.86299
1995/3/1,2.78722
1995/4/1,3.125
1995/5/1,3.11864
1995/6/1,3.0426
1995/7/1,2.83019
1995/8/1,2.61745
1995/9/1,2.54521
1995/10/1,2.74431
1995/11/1,2.60347
1995/12/1,2.53165
1996/1/1,2.7907
1996/2/1,2.71703
1996/3/1,2.84392
1996/4/1,2.83267
1996/5/1,2.82709
1996/6/1,2.82152
1996/7/1,2.88336
1996/8/1,2.8123
1996/9/1,3.00457
1996/10/1,3.06189
1996/11/1,3.25309
1996/12/1,3.37882
1997/1/1,3.03814
1997/2/1,3.03226
1997/3/1,2.76527
1997/4/1,2.43434
1997/5/1,2.23785
1997/6/1,2.23357
1997/7/1,2.16561
1997/8/1,2.29008
1997/9/1,2.2194
1997/10/1,2.08597
1997/11/1,1.89036
1997/12/1,1.69705
1998/1/1,1.63112
1998/2/1,1.4402
1998/3/1,1.37672
1998/4/1,1.4384
1998/5/1,1.68856
1998/6/1,1.62297
1998/7/1,1.74564
1998/8/1,1.61692
1998/9/1,1.4268
1998/10/1,1.48607
1998/11/1,1.48423
1998/12/1,1.60692
1999/1/1,1.66667
1999/2/1,1.66667
1999/3/1,1.7284
1999/4/1,2.28113
1999/5/1,2.09102
1999/6/1,1.9656
1999/7/1,2.14461
1999/8/1,2.26438
1999/9/1,2.62997
1999/10/1,2.56254
1999/11/1,2.62035
1999/12/1,2.6764
