DATE,GDPC1_GDPPOT
2007/7/1,0.064613492
2007/10/1,0.196501885
2008/1/1,-0.840211336
2008/4/1,-0.766212922
2008/7/1,-1.705191787
2008/10/1,-4.190470899
2009/1/1,-5.579730948
2009/4/1,-5.996835282
2009/7/1,-5.912761739
2009/10/1,-5.12885843
2010/1/1,-5.013770434
2010/4/1,-4.401196762
2010/7/1,-3.976622037
2010/10/1,-3.788930442
2011/1/1,-4.327298085
2011/4/1,-3.965368465
2011/7/1,-4.327979846
2011/10/1,-3.569729835
2012/1/1,-3.18015383
2012/4/1,-3.143793967
2012/7/1,-3.402409964
2012/10/1,-3.6875711
2013/1/1,-3.236279632
2013/4/1,-3.521668034
2013/7/1,-3.17305627
2013/10/1,-2.81308675
2014/1/1,-3.499601622
2014/4/1,-2.610931563
2014/7/1,-1.847623769
2014/10/1,-1.723763939
2015/1/1,-1.383673041
2015/4/1,-1.084804754
2015/7/1,-1.184280339
2015/10/1,-1.570230984
2016/1/1,-1.487663822
2016/4/1,-1.43176215
2016/7/1,-1.301830931
2016/10/1,-1.209201658
2017/1/1,-1.056945124
2017/4/1,-0.937912792
2017/7/1,-0.582224453
2017/10/1,-0.156698029
2018/1/1,0.011575104
2018/4/1,0.395278574
2018/7/1,0.621474328
2018/10/1,0.387568188
2019/1/1,0.642658199
2019/4/1,0.628043806
2019/7/1,0.632823655
2019/10/1,0.631469936
